episode,time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,airspeed,action_1,action_2,action_3,throttle
1.0,0.0,0.0,0.0,0.0,-0.00015028534462006106,0.2514096499013929,3.004633374149098,23.370653844243886,-0.04805713672743233,1.022073800668335,-3.1264853477478027,0.8404229283332825,-0.007812966592609882,22.118408203125,0.0,0.0,0.0,50.0
1.0,0.05013751983642578,1.1017743803240632,-0.003937349727669848,-0.2299957275390625,-0.3842918067646223,0.39080686996112696,2.9764832018901934,22.78512768183478,-0.9738715695549793,4.071484676298652,-9.366522789001465,3.957035541534424,0.13208526372909546,22.118408203125,1805.5830001831055,1211.1374378204346,1566.145420074463,69.90156322337214
1.0,0.1002511978149414,2.1361565337314885,-0.008013440058312449,-0.4799957275390625,-0.7564359159670433,0.5976055686789284,2.8439234684535153,21.151371367361854,-2.541918016135362,7.292668544696738,-7.336212158203125,6.47981595993042,0.5467994213104248,21.92092514038086,1181.7694187164307,1201.5005588531494,1254.6578407287598,80.47476580964772
1.0,0.1503903865814209,2.9487333584303053,-0.03347900405943921,-0.7700042724609375,-1.2937955679976028,0.8608683937101681,2.3201562514350185,17.382819367250015,-3.8122559240868092,12.7809755485594,-2.3068864345550537,8.468133926391602,0.21554988622665405,21.92092514038086,1348.3309268951416,1141.7647123336792,1170.743703842163,95.01317177637696
1.0,0.20052671432495117,4.005545038615711,-0.2818826352780065,-1.3899993896484375,-1.988357013817761,0.8240370666055304,1.6901384815572749,16.08969565361567,-4.616369595095112,12.53974957365688,-5.759875297546387,9.822142601013184,-0.31866002082824707,21.159639358520508,1129.382038116455,1361.9282722473145,1297.3151206970215,100.0
1.0,0.2505836486816406,4.553976092452319,-0.6736476606765658,-1.970001220703125,-2.804445705845431,0.4349184968088042,1.2567900143419937,13.606171418690419,-8.40003508205389,11.784494538824564,-12.049179077148438,9.71371078491211,-0.33876973390579224,21.159639358520508,1134.3095302581787,1543.611240386963,1743.3236122131348,100.0
1.0,0.3007168769836426,4.90800993542436,-1.367141252968744,-2.600006103515625,2.7063316636578136,0.03701647030640381,1.2934588559259246,14.605388437842564,-9.202607505445044,6.011000060219389,-15.955812454223633,7.593227386474609,-0.650327742099762,19.84724235534668,1783.6298942565918,1227.4935483932495,1574.558687210083,83.70691897316931
1.0,0.35077762603759766,5.017081390716533,-2.1585342829646357,-2.9499969482421875,1.9617259335928288,-0.13850087838553984,1.5537596055368241,15.856030835122311,-6.207980988257927,2.67463013584931,-13.010184288024902,5.79318380355835,-1.136810541152954,19.84724235534668,1598.2492923736572,1365.321707725525,1842.8068161010742,52.96064139519423
1.0,0.4009358882904053,5.136066254852328,-3.021856330881174,-3.0800018310546875,1.5543189943155613,-0.12579140713359152,1.7827666438596075,16.248247803931033,-3.5065629070951285,2.965422318864772,-7.640796661376953,4.915183067321777,-1.1427230834960938,18.608461380004883,1699.3395328521729,1558.7304592132568,1514.7127151489258,38.955319664385684
1.0,0.4510180950164795,5.303864694546263,-3.75018208012319,-3.1100006103515625,1.4415231363955385,-0.06279372021881816,1.9725974799008337,16.20047830893593,-1.7573187459226585,4.343875149556446,0.11048112064599991,2.764300584793091,-0.6503380537033081,18.608461380004883,1115.7970428466797,1742.3777103424072,1446.0140705108643,39.963205874274195
1.0,0.5010805130004883,5.642296204622397,-4.656585639676878,-3.100006103515625,1.4589706951659673,-0.034475926393730386,1.9818178903678159,16.713729451929005,-0.4089584605959865,1.9505651795425103,-0.0565226748585701,-0.41773390769958496,-0.46165284514427185,17.769315719604492,1289.082145690918,1760.5010032653809,1221.2383031845093,44.979803049826614
1.0,0.5511629581451416,6.067575499617824,-5.459371642775666,-3.0699920654296875,1.243025031259692,-0.045776064863846784,1.8403083785653664,16.543050309896543,0.6107364622348689,-1.9156226900803897,-5.721285343170166,-3.39294695854187,-0.3622515797615051,17.769315719604492,1255.7411909103394,1101.2145519256592,1439.4875049591064,47.24247222568721
1.0,0.6013219356536865,6.457167543458711,-6.166278728196641,-3.029998779296875,0.7982298196177121,-0.13682996113515405,1.6452134646253826,15.621606242190454,2.5533990628251164,-4.006647916363101,-9.009254455566406,-4.081969261169434,-0.4614436626434326,17.12216567993164,1337.3706817626953,1403.7901401519775,1410.7576370239258,46.33919362848417
1.0,0.6535181999206543,6.832142887168359,-6.9301891250560015,-2.94000244140625,0.44776899116728625,-0.25200819121241824,1.545224082752754,15.278691630761905,3.21081933559552,-3.118359575689392,-6.356388092041016,-2.4419898986816406,-0.10729965567588806,17.12216567993164,1516.1152362823486,1170.050311088562,1633.2849025726318,39.08772835479539
1.0,0.7035934925079346,7.096840170514431,-7.709298276610884,-2.75,0.3037655534309547,-0.27913595949991943,1.5464070934711813,15.493860623173479,2.513423572257957,-0.8839712092804688,-3.5969109535217285,-0.3993457555770874,0.40949708223342896,16.401355743408203,1270.7237482070923,1280.1021575927734,1637.566900253296,30.05206236092349
1.0,0.753734827041626,7.23489005045582,-8.221776508484426,-2.589996337890625,0.11115194563269752,-0.20243246419806551,1.6053183094985932,15.489755370111848,1.5001298498577973,1.7185827345715836,-3.6662092208862305,2.1696531772613525,0.844552755355835,16.401355743408203,1857.3700904846191,1570.52001953125,1769.8444366455078,27.957987625035443
1.0,0.8038780689239502,7.443212515870293,-8.999490555089078,-2.3199920654296875,-0.07044277814426163,-0.07551653424204899,1.6539723356660267,15.055172805929882,0.16567394200873065,3.729897029051508,-3.5568137168884277,2.7982823848724365,1.0501468181610107,15.882678031921387,1617.9384231567383,1358.9210033416748,1173.4605550765991,33.91578259558253
1.0,0.8540170192718506,7.612127988301859,-9.65433624165019,-2.1199951171875,-0.0739734856017204,0.06254044581749461,1.6937744610115195,14.722029369083815,-0.5281026357638545,4.413090339975546,0.8144454956054688,2.5933539867401123,1.0075428485870361,15.882678031921387,1577.378273010254,1579.3389797210693,1335.029411315918,43.96441764605819
1.0,0.9041478633880615,7.7959096618325265,-10.41710294957284,-1.9900054931640625,0.0570879733149781,0.16866181193705684,1.719911696563791,14.575320940628105,-0.46311569575126577,4.191474547491836,2.8374106884002686,2.1085710525512695,0.4753422737121582,15.42338752746582,1337.9081726074219,1318.6269283294678,1693.2243824005127,54.999974771100035
1.0,0.9542756080627441,7.957516784198473,-11.100450291853143,-1.9600067138671875,0.1333226525735306,0.23552595353796285,1.7326921829373587,14.520412528952372,-0.33525082517153487,3.4294376535596034,1.138718605041504,1.335837721824646,0.04877519607543945,15.42338752746582,1513.4044170379639,1154.3745040893555,1474.0819215774536,63.429064016731225
1.0,1.0043554306030273,8.128903832129659,-11.773284943010239,-2.0,0.1090437545831167,0.31994425332893245,1.7413106566496315,14.37991950444563,-0.3023625327823274,3.2530463842140858,-0.6326962113380432,2.0104904174804688,-0.02801680751144886,14.931262016296387,1341.0536766052246,1884.7886085510254,1688.003158569336,68.66835605136288
1.0,1.0544300079345703,8.333379588735491,-12.44155923860178,-2.100006103515625,0.08911661712772637,0.45201203616907015,1.757109559435787,14.040698028040683,-0.29822770762334183,4.014596884545913,-0.8630862832069397,3.189281940460205,0.034226637333631516,14.931262016296387,1457.652473449707,1300.230097770691,1145.248007774353,75.16109147301918
1.0,1.1045739650726318,8.508364886160166,-13.058916865922878,-2.2400054931640625,0.007933075604421023,0.6246921557365153,1.7739572719916263,13.582246503069717,-0.6239980937498335,4.942439721864685,-1.8048374652862549,3.477585792541504,0.16740106046199799,14.47083854675293,1676.8031120300293,1822.1487045288086,1841.9156074523926,84.94211076753444
1.0,1.1546361446380615,8.710353951364743,-13.709204280223858,-2.5,-0.023885585807772593,0.7890817788708921,1.7863238898556502,13.342926138868831,-0.7412296051713083,5.035712562182281,-0.39392003417015076,3.4355239868164062,0.2779209613800049,14.47083854675293,1692.732810974121,1506.288719177246,1827.250862121582,96.7878075900714
1.0,1.2047128677368164,8.876662281712886,-14.263604177243497,-2.8199920654296875,0.18343842079981318,0.9251701710679618,1.8145220816766698,13.31031602139565,-0.004595845859223013,4.725652113359299,4.486332416534424,1.9595091342926025,0.18426628410816193,14.056949615478516,1197.632622718811,1588.0140781402588,1281.242275238037,100.0
1.0,1.2547733783721924,9.081011071338441,-14.849428164187659,-3.3300018310546875,0.4848793935004128,0.9509097965883034,1.8263760114907703,13.656600805740204,0.4921775556270247,2.414096607087867,5.418397903442383,0.04032813012599945,-0.03397583216428757,14.056949615478516,1735.6728076934814,1870.1581001281738,1689.7805213928223,100.0
1.0,1.30491304397583,9.233678693063776,-15.304910642573635,-3.8699951171875,0.7000789097208661,0.8771424874318304,1.7442833088028358,13.769822219187251,0.41245072427163,-0.3664666633011606,5.027058124542236,-2.052064895629883,0.08119292557239532,13.719048500061035,1892.7696228027344,1311.2583637237549,1369.2945003509521,100.0
1.0,1.3549740314483643,9.420674590188977,-15.764826726865696,-4.4799957275390625,0.9642316149977926,0.7680643218789069,1.5995176531955233,13.519217841790208,-0.3051594432296527,-2.5078835031056594,8.805119514465332,-3.3106343746185303,0.32135093212127686,13.719048500061035,1452.526831626892,1216.70982837677,1897.4530696868896,100.0
1.0,1.4051334857940674,9.55488531927254,-16.167864166073418,-4.9600067138671875,1.407000804342745,0.6963381061166776,1.452681892571398,13.229759842354134,-1.344974470936549,-2.735889114634725,10.85881233215332,-2.2116036415100098,0.45945313572883606,13.455880165100098,1303.9616107940674,1110.644268989563,1413.6968851089478,100.0
1.0,1.4552183151245117,9.66592387348321,-16.647413652619793,-5.42999267578125,1.851557886318026,0.6721775777398399,1.439701443294813,13.309440640060908,-1.1895693701444596,-0.8689396768032618,7.340135097503662,0.46425411105155945,0.2953653037548065,13.455880165100098,1237.0620965957642,1560.8538627624512,1838.5817527770996,100.0
1.0,1.5053596496582031,9.686393859293512,-17.203583695304523,-5.910003662109375,2.080642737784039,0.6184678326915863,1.5653640074839335,13.364609226340246,-0.37437376806854417,1.5707153192241265,1.5195881128311157,2.428333282470703,0.10280170291662216,13.201384544372559,1340.5447483062744,1513.8925075531006,1857.2708129882812,99.81530767922038
1.0,1.555532455444336,9.708096895530923,-17.76875629906442,-6.3600006103515625,1.9868153858424145,0.573869462240341,1.6533434162234577,13.56349918000468,-0.27807786841217563,1.9357378895894701,-4.0640668869018555,1.4880951642990112,0.11447526514530182,13.201384544372559,1358.814001083374,1463.311505317688,1563.43355178833,96.38299848482745
1.0,1.6056668758392334,9.771436557233818,-18.309860853011205,-6.7400054931640625,1.7460878836602722,0.5546041918545813,1.6878670745465298,13.793220909409445,-0.20846719357873145,1.1605201812936046,-4.905242443084717,0.4998319745063782,0.20366141200065613,13.095200538635254,1714.8321151733398,1694.7086334228516,1810.847520828247,93.43085638067244
1.0,1.655806541442871,9.898594953517733,-18.90631568113452,-7.1300048828125,1.6130780756030927,0.5410923092250736,1.6731982028970231,14.008386018706023,0.03556267605357988,0.29963368031034404,-1.6887595653533936,-0.4807790517807007,0.2954954504966736,13.095200538635254,1824.510097503662,1738.132619857788,1701.7271041870117,92.12854891347888
1.0,1.7059426307678223,10.039251975542545,-19.519239702549534,-7.4799957275390625,1.666016505787589,0.531185133657281,1.562557800890049,14.156045879825278,0.11482018929205573,-1.4570647732577977,3.6061668395996094,-2.595125198364258,0.36951401829719543,13.13891887664795,1593.837022781372,1876.4867782592773,1352.0357608795166,91.20580542831618
1.0,1.756079912185669,10.157725846799108,-20.0527378420241,-7.7899932861328125,1.8010113668975007,0.5435478677468394,1.3374499756408305,13.732796474038002,-0.44249297910392027,-3.847058062623711,5.625882625579834,-4.585936546325684,0.4916318356990814,13.13891887664795,1463.4837627410889,1121.3889122009277,1137.604546546936,90.52444221145421
1.0,1.8062114715576172,10.257872917352305,-20.61626392482024,-8.089996337890625,1.7604422307994405,0.5868449707951932,0.9840263751695819,12.680478181940021,-0.8221022879030571,-6.358858225444269,2.113675594329834,-6.322048664093018,0.5281549096107483,13.158864974975586,1240.3335332870483,1519.7018146514893,1833.1933498382568,91.37406291444016
1.0,1.856276035308838,10.229397927631505,-21.225003673037275,-8.44000244140625,1.4486385695883488,0.5936610872048811,0.594889405104006,11.936588613676957,0.27936969479723484,-7.597256982576538,-2.543775796890259,-6.27622652053833,0.16690215468406677,13.158864974975586,1222.198224067688,1335.3232622146606,1171.641445159912,94.29892928699374
1.0,1.9064123630523682,10.03910031788342,-21.80106505028795,-8.819992065429688,0.9314400125708915,0.5215775691314185,0.30797931839016135,12.083402697765727,2.6055402301407096,-6.4235259836183625,-8.357442855834961,-4.469106197357178,-0.43475276231765747,13.070002555847168,1108.1574440002441,1733.6944580078125,1531.9974422454834,94.75195470401978
1.0,1.9564709663391113,9.663558412267294,-22.25603577111099,-9.17999267578125,0.36299863812379984,0.4205847682688419,0.1920603805031314,12.648130988385041,3.6582300861954957,-3.0578942822771022,-11.74838924407959,-2.7489869594573975,-0.2909700870513916,13.070002555847168,1618.4289455413818,1523.2651710510254,1628.6507606506348,89.85988509813298
